strategy_id,strategy_code,strategy,description,transformation_specification,baseline_strategy_id
0,BASE,Strategy TX:BASE,,TX:BASE,1
1000,AGRC:DEC_CH4_RICE,Singleton - Default Value - AGRC: Improve rice management,,TX:AGRC:DEC_CH4_RICE,0
1001,AGRC:DEC_CH4_RICE_P10,Singleton - Default Value - AGRC: Improve rice management at 10% of max,,TX:AGRC:DEC_CH4_RICE_P10,0
1002,AGRC:DEC_CH4_RICE_P20,Singleton - Default Value - AGRC: Improve rice management at 20% of max,,TX:AGRC:DEC_CH4_RICE_P20,0
1003,AGRC:DEC_CH4_RICE_P30,Singleton - Default Value - AGRC: Improve rice management at 30% of max,,TX:AGRC:DEC_CH4_RICE_P30,0
1004,AGRC:DEC_CH4_RICE_P40,Singleton - Default Value - AGRC: Improve rice management at 40% of max,,TX:AGRC:DEC_CH4_RICE_P40,0
1005,AGRC:DEC_CH4_RICE_P50,Singleton - Default Value - AGRC: Improve rice management at 50% of max,,TX:AGRC:DEC_CH4_RICE_P50,0
1006,AGRC:DEC_CH4_RICE_P60,Singleton - Default Value - AGRC: Improve rice management at 60% of max,,TX:AGRC:DEC_CH4_RICE_P60,0
1007,AGRC:DEC_CH4_RICE_P70,Singleton - Default Value - AGRC: Improve rice management at 70% of max,,TX:AGRC:DEC_CH4_RICE_P70,0
1008,AGRC:DEC_CH4_RICE_P80,Singleton - Default Value - AGRC: Improve rice management at 80% of max,,TX:AGRC:DEC_CH4_RICE_P80,0
1009,AGRC:DEC_CH4_RICE_P90,Singleton - Default Value - AGRC: Improve rice management at 90% of max,,TX:AGRC:DEC_CH4_RICE_P90,0
1010,AGRC:DEC_EXPORTS,Singleton - Default Value - AGRC: Decrease Exports,,TX:AGRC:DEC_EXPORTS,0
1011,AGRC:DEC_LOSSES_SUPPLY_CHAIN,Singleton - Default Value - AGRC: Reduce supply chain losses,,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0
1012,AGRC:INC_CONSERVATION_AGRICULTURE,Singleton - Default Value - AGRC: Expand conservation agriculture,,TX:AGRC:INC_CONSERVATION_AGRICULTURE,0
1013,AGRC:INC_PRODUCTIVITY,Singleton - Default Value - AGRC: Improve crop productivity,,TX:AGRC:INC_PRODUCTIVITY,0
1014,LNDU:BOUND_CLASSES,Singleton - Default Value - LNDU: Bound Classes,,TX:LNDU:BOUND_CLASSES,0
1015,LNDU:DEC_DEFORESTATION,Singleton - Default Value - LNDU: Stop deforestation,,TX:LNDU:DEC_DEFORESTATION,0
1016,LNDU:DEC_SOC_LOSS_PASTURES,Singleton - Default Value - LNDU: Expand sustainable grazing practices,,TX:LNDU:DEC_SOC_LOSS_PASTURES,0
1017,LNDU:INC_REFORESTATION,Singleton - Default Value - LNDU: Increase Reforestation,,TX:LNDU:INC_REFORESTATION,0
1018,LNDU:INC_SILVOPASTURE,Singleton - Default Value - LNDU: Expand silvopasture,,TX:LNDU:INC_SILVOPASTURE,0
1019,LNDU:PLUR,Singleton - Default Value - LNDU: Partial land use reallocation,,TX:LNDU:PLUR,0
