"commercial and public services total final consumption by source in China",Value,Year,Units
"Coal and coal products",347486,2000, TJ
"Coal and coal products",374268,2001, TJ
"Coal and coal products",413117,2002, TJ
"Coal and coal products",481501,2003, TJ
"Coal and coal products",543248,2004, TJ
"Coal and coal products",596737,2005, TJ
"Coal and coal products",633291,2006, TJ
"Coal and coal products",670002,2007, TJ
"Coal and coal products",674113,2008, TJ
"Coal and coal products",699486,2009, TJ
"Coal and coal products",697216,2010, TJ
"Coal and coal products",778681,2011, TJ
"Coal and coal products",817777,2012, TJ
"Coal and coal products",871324,2013, TJ
"Coal and coal products",830076,2014, TJ
"Coal and coal products",845101,2015, TJ
"Coal and coal products",835760,2016, TJ
"Coal and coal products",760408,2017, TJ
"Coal and coal products",590374,2018, TJ
"Coal and coal products",524616,2019, TJ
"Coal and coal products",433278,2020, TJ
"Coal and coal products",327666,2021, TJ
"Coal and coal products",292472,2022, TJ
"Coal and coal products",277848,2023, TJ
"Oil products",324369,2000, TJ
"Oil products",331016,2001, TJ
"Oil products",304997,2002, TJ
"Oil products",313224,2003, TJ
"Oil products",408849,2004, TJ
"Oil products",405038,2005, TJ
"Oil products",428734,2006, TJ
"Oil products",473166,2007, TJ
"Oil products",462176,2008, TJ
"Oil products",492032,2009, TJ
"Oil products",556037,2010, TJ
"Oil products",600166,2011, TJ
"Oil products",639037,2012, TJ
"Oil products",639341,2013, TJ
"Oil products",606225,2014, TJ
"Oil products",658638,2015, TJ
"Oil products",637266,2016, TJ
"Oil products",658169,2017, TJ
"Oil products",695343,2018, TJ
"Oil products",690060,2019, TJ
"Oil products",661001,2020, TJ
"Oil products",694650,2021, TJ
"Oil products",678274,2022, TJ
"Oil products",657922,2023, TJ
"Natural gas",21905,2000, TJ
"Natural gas",31065,2001, TJ
"Natural gas",41684,2002, TJ
"Natural gas",51457,2003, TJ
"Natural gas",113913,2004, TJ
"Natural gas",115926,2005, TJ
"Natural gas",144210,2006, TJ
"Natural gas",176005,2007, TJ
"Natural gas",133026,2008, TJ
"Natural gas",161961,2009, TJ
"Natural gas",232541,2010, TJ
"Natural gas",261523,2011, TJ
"Natural gas",310196,2012, TJ
"Natural gas",324336,2013, TJ
"Natural gas",362919,2014, TJ
"Natural gas",401561,2015, TJ
"Natural gas",424931,2016, TJ
"Natural gas",462669,2017, TJ
"Natural gas",492912,2018, TJ
"Natural gas",510079,2019, TJ
"Natural gas",506413,2020, TJ
"Natural gas",557861,2021, TJ
"Natural gas",569694,2022, TJ
"Natural gas",592089,2023, TJ
"Heat",22767,2000, TJ
"Heat",24414,2001, TJ
"Heat",28089,2002, TJ
"Heat",29684,2003, TJ
"Heat",40411,2004, TJ
"Heat",39333,2005, TJ
"Heat",50475,2006, TJ
"Heat",55044,2007, TJ
"Heat",60598,2008, TJ
"Heat",57939,2009, TJ
"Heat",65168,2010, TJ
"Heat",75507,2011, TJ
"Heat",85692,2012, TJ
"Heat",91584,2013, TJ
"Heat",102406,2014, TJ
"Heat",116899,2015, TJ
"Heat",131051,2016, TJ
"Heat",146313,2017, TJ
"Heat",175720,2018, TJ
"Heat",191414,2019, TJ
"Heat",203641,2020, TJ
"Heat",227142,2021, TJ
"Heat",242157,2022, TJ
"Heat",254265,2023, TJ
"Electricity",252637,2000, TJ
"Electricity",272908,2001, TJ
"Electricity",283842,2002, TJ
"Electricity",342619,2003, TJ
"Electricity",393768,2004, TJ
"Electricity",420429,2005, TJ
"Electricity",460605,2006, TJ
"Electricity",506343,2007, TJ
"Electricity",550274,2008, TJ
"Electricity",606387,2009, TJ
"Electricity",691070,2010, TJ
"Electricity",793890,2011, TJ
"Electricity",879339,2012, TJ
"Electricity",965782,2013, TJ
"Electricity",1028113,2014, TJ
"Electricity",1096891,2015, TJ
"Electricity",1198620,2016, TJ
"Electricity",1316498,2017, TJ
"Electricity",1495035,2018, TJ
"Electricity",1646821,2019, TJ
"Electricity",1657947,2020, TJ
"Electricity",1980246,2021, TJ
"Electricity",2060542,2022, TJ
"Electricity",2298507,2023, TJ
"Solar, wind and other renewables",3895,2000, TJ
"Solar, wind and other renewables",4793,2001, TJ
"Solar, wind and other renewables",5992,2002, TJ
"Solar, wind and other renewables",7491,2003, TJ
"Solar, wind and other renewables",8989,2004, TJ
"Solar, wind and other renewables",11535,2005, TJ
"Solar, wind and other renewables",14403,2006, TJ
"Solar, wind and other renewables",17717,2007, TJ
"Solar, wind and other renewables",22638,2008, TJ
"Solar, wind and other renewables",30060,2009, TJ
"Solar, wind and other renewables",35161,2010, TJ
"Solar, wind and other renewables",45500,2011, TJ
"Solar, wind and other renewables",53934,2012, TJ
"Solar, wind and other renewables",78417,2013, TJ
"Solar, wind and other renewables",83454,2014, TJ
"Solar, wind and other renewables",89206,2015, TJ
"Solar, wind and other renewables",93538,2016, TJ
"Solar, wind and other renewables",96425,2017, TJ
"Solar, wind and other renewables",95277,2018, TJ
"Solar, wind and other renewables",97623,2019, TJ
"Solar, wind and other renewables",102568,2020, TJ
"Solar, wind and other renewables",107453,2021, TJ
"Solar, wind and other renewables",111568,2022, TJ
"Solar, wind and other renewables",115094,2023, TJ
