"residential total final consumption by source in China",Value,Year,Units
"Coal and coal products",1947725,2000, TJ
"Coal and coal products",1920926,2001, TJ
"Coal and coal products",1923015,2002, TJ
"Coal and coal products",2041442,2003, TJ
"Coal and coal products",2213124,2004, TJ
"Coal and coal products",2280845,2005, TJ
"Coal and coal products",2302589,2006, TJ
"Coal and coal products",2200161,2007, TJ
"Coal and coal products",2061797,2008, TJ
"Coal and coal products",2041007,2009, TJ
"Coal and coal products",2112150,2010, TJ
"Coal and coal products",2101430,2011, TJ
"Coal and coal products",2100070,2012, TJ
"Coal and coal products",2081220,2013, TJ
"Coal and coal products",2079075,2014, TJ
"Coal and coal products",2118785,2015, TJ
"Coal and coal products",2069029,2016, TJ
"Coal and coal products",2013047,2017, TJ
"Coal and coal products",1672126,2018, TJ
"Coal and coal products",1423038,2019, TJ
"Coal and coal products",1372771,2020, TJ
"Coal and coal products",1289463,2021, TJ
"Coal and coal products",1199277,2022, TJ
"Coal and coal products",1139313,2023, TJ
"Oil products",500455,2000, TJ
"Oil products",504948,2001, TJ
"Oil products",550141,2002, TJ
"Oil products",634057,2003, TJ
"Oil products",770107,2004, TJ
"Oil products",765338,2005, TJ
"Oil products",864293,2006, TJ
"Oil products",947779,2007, TJ
"Oil products",863909,2008, TJ
"Oil products",899612,2009, TJ
"Oil products",945645,2010, TJ
"Oil products",1008685,2011, TJ
"Oil products",1038535,2012, TJ
"Oil products",1149064,2013, TJ
"Oil products",1314465,2014, TJ
"Oil products",1504936,2015, TJ
"Oil products",1658814,2016, TJ
"Oil products",1775906,2017, TJ
"Oil products",1747451,2018, TJ
"Oil products",1581718,2019, TJ
"Oil products",1570197,2020, TJ
"Oil products",1501614,2021, TJ
"Oil products",1474589,2022, TJ
"Oil products",1430351,2023, TJ
"Natural gas",113242,2000, TJ
"Natural gas",147544,2001, TJ
"Natural gas",161734,2002, TJ
"Natural gas",181811,2003, TJ
"Natural gas",235524,2004, TJ
"Natural gas",278306,2005, TJ
"Natural gas",359559,2006, TJ
"Natural gas",502408,2007, TJ
"Natural gas",596064,2008, TJ
"Natural gas",622518,2009, TJ
"Natural gas",795009,2010, TJ
"Natural gas",926339,2011, TJ
"Natural gas",1010052,2012, TJ
"Natural gas",1131478,2013, TJ
"Natural gas",1200328,2014, TJ
"Natural gas",1260698,2015, TJ
"Natural gas",1330552,2016, TJ
"Natural gas",1472642,2017, TJ
"Natural gas",1641105,2018, TJ
"Natural gas",1760023,2019, TJ
"Natural gas",1962017,2020, TJ
"Natural gas",2075154,2021, TJ
"Natural gas",2064926,2022, TJ
"Natural gas",2238268,2023, TJ
"Heat",249107,2000, TJ
"Heat",251913,2001, TJ
"Heat",285804,2002, TJ
"Heat",357787,2003, TJ
"Heat",436528,2004, TJ
"Heat",544469,2005, TJ
"Heat",596164,2006, TJ
"Heat",606213,2007, TJ
"Heat",659623,2008, TJ
"Heat",704619,2009, TJ
"Heat",711364,2010, TJ
"Heat",748073,2011, TJ
"Heat",834080,2012, TJ
"Heat",883097,2013, TJ
"Heat",943572,2014, TJ
"Heat",1043763,2015, TJ
"Heat",1118182,2016, TJ
"Heat",1221859,2017, TJ
"Heat",1402006,2018, TJ
"Heat",1500087,2019, TJ
"Heat",1646437,2020, TJ
"Heat",1836419,2021, TJ
"Heat",1936138,2022, TJ
"Heat",2032945,2023, TJ
"Electricity",522702,2000, TJ
"Electricity",579322,2001, TJ
"Electricity",637711,2002, TJ
"Electricity",740894,2003, TJ
"Electricity",858416,2004, TJ
"Electricity",1038531,2005, TJ
"Electricity",1206568,2006, TJ
"Electricity",1462575,2007, TJ
"Electricity",1582596,2008, TJ
"Electricity",1753977,2009, TJ
"Electricity",1844866,2010, TJ
"Electricity",2023221,2011, TJ
"Electricity",2238825,2012, TJ
"Electricity",2516097,2013, TJ
"Electricity",2583396,2014, TJ
"Electricity",2723475,2015, TJ
"Electricity",3031416,2016, TJ
"Electricity",3265765,2017, TJ
"Electricity",3620717,2018, TJ
"Electricity",3829395,2019, TJ
"Electricity",4102732,2020, TJ
"Electricity",4420404,2021, TJ
"Electricity",5016908,2022, TJ
"Electricity",5034218,2023, TJ
"Solar, wind and other renewables",35057,2000, TJ
"Solar, wind and other renewables",43147,2001, TJ
"Solar, wind and other renewables",53933,2002, TJ
"Solar, wind and other renewables",67417,2003, TJ
"Solar, wind and other renewables",80900,2004, TJ
"Solar, wind and other renewables",103822,2005, TJ
"Solar, wind and other renewables",129631,2006, TJ
"Solar, wind and other renewables",159452,2007, TJ
"Solar, wind and other renewables",203753,2008, TJ
"Solar, wind and other renewables",270547,2009, TJ
"Solar, wind and other renewables",316460,2010, TJ
"Solar, wind and other renewables",409506,2011, TJ
"Solar, wind and other renewables",485414,2012, TJ
"Solar, wind and other renewables",705750,2013, TJ
"Solar, wind and other renewables",751099,2014, TJ
"Solar, wind and other renewables",802853,2015, TJ
"Solar, wind and other renewables",841853,2016, TJ
"Solar, wind and other renewables",867825,2017, TJ
"Solar, wind and other renewables",857499,2018, TJ
"Solar, wind and other renewables",878614,2019, TJ
"Solar, wind and other renewables",923119,2020, TJ
"Solar, wind and other renewables",967077,2021, TJ
"Solar, wind and other renewables",1004114,2022, TJ
