"transport total final consumption by source in China",Value,Year,Units
"Coal and coal products",19610,2000, TJ
"Coal and coal products",5693,2001, TJ
"Coal and coal products",831,2002, TJ
"Coal and coal products",369,2003, TJ
"Coal and coal products",53,2004, TJ
"Coal and coal products",26,2005, TJ
"Coal and coal products",80,2006, TJ
"Coal and coal products",26,2007, TJ
"Coal and coal products",0,2008, TJ
"Coal and coal products",0,2009, TJ
"Coal and coal products",0,2010, TJ
"Coal and coal products",0,2011, TJ
"Coal and coal products",0,2012, TJ
"Coal and coal products",107,2013, TJ
"Coal and coal products",107,2014, TJ
"Coal and coal products",107,2015, TJ
"Coal and coal products",107,2016, TJ
"Coal and coal products",85,2017, TJ
"Coal and coal products",5,2018, TJ
"Coal and coal products",5,2019, TJ
"Coal and coal products",0,2020, TJ
"Coal and coal products",,2021, TJ
"Coal and coal products",0,2022, TJ
"Coal and coal products",0,2023, TJ
"Oil products",3415861,2000, TJ
"Oil products",3510921,2001, TJ
"Oil products",3818494,2002, TJ
"Oil products",4297201,2003, TJ
"Oil products",5106594,2004, TJ
"Oil products",5446703,2005, TJ
"Oil products",5945523,2006, TJ
"Oil products",6409262,2007, TJ
"Oil products",6848641,2008, TJ
"Oil products",6933663,2009, TJ
"Oil products",7659961,2010, TJ
"Oil products",8315752,2011, TJ
"Oil products",9168479,2012, TJ
"Oil products",9888457,2013, TJ
"Oil products",10193512,2014, TJ
"Oil products",10971750,2015, TJ
"Oil products",11182405,2016, TJ
"Oil products",11567047,2017, TJ
"Oil products",12724234,2018, TJ
"Oil products",13347504,2019, TJ
"Oil products",13555019,2020, TJ
"Oil products",14453471,2021, TJ
"Oil products",13047919,2022, TJ
"Oil products",13739321,2023, TJ
"Natural gas",6473,2000, TJ
"Natural gas",10733,2001, TJ
"Natural gas",20260,2002, TJ
"Natural gas",53656,2003, TJ
"Natural gas",38107,2004, TJ
"Natural gas",61849,2005, TJ
"Natural gas",80086,2006, TJ
"Natural gas",82220,2007, TJ
"Natural gas",224129,2008, TJ
"Natural gas",290740,2009, TJ
"Natural gas",288126,2010, TJ
"Natural gas",392369,2011, TJ
"Natural gas",433154,2012, TJ
"Natural gas",507421,2013, TJ
"Natural gas",642449,2014, TJ
"Natural gas",718812,2015, TJ
"Natural gas",764522,2016, TJ
"Natural gas",853051,2017, TJ
"Natural gas",867627,2018, TJ
"Natural gas",1047638,2019, TJ
"Natural gas",1099037,2020, TJ
"Natural gas",1135412,2021, TJ
"Natural gas",1059674,2022, TJ
"Natural gas",1148630,2023, TJ
"Electricity",53657,2000, TJ
"Electricity",59022,2001, TJ
"Electricity",57815,2002, TJ
"Electricity",77652,2003, TJ
"Electricity",85802,2004, TJ
"Electricity",72716,2005, TJ
"Electricity",86191,2006, TJ
"Electricity",99234,2007, TJ
"Electricity",107726,2008, TJ
"Electricity",117691,2009, TJ
"Electricity",143974,2010, TJ
"Electricity",167666,2011, TJ
"Electricity",190375,2012, TJ
"Electricity",211287,2013, TJ
"Electricity",225986,2014, TJ
"Electricity",259783,2015, TJ
"Electricity",307504,2016, TJ
"Electricity",363112,2017, TJ
"Electricity",432223,2018, TJ
"Electricity",470397,2019, TJ
"Electricity",476574,2020, TJ
"Electricity",566407,2021, TJ
"Electricity",633361,2022, TJ
"Electricity",738530,2023, TJ
"Biofuels and waste",,2000, TJ
"Biofuels and waste",,2001, TJ
"Biofuels and waste",,2002, TJ
"Biofuels and waste",,2003, TJ
"Biofuels and waste",,2004, TJ
"Biofuels and waste",27777,2005, TJ
"Biofuels and waste",35817,2006, TJ
"Biofuels and waste",40011,2007, TJ
"Biofuels and waste",45030,2008, TJ
"Biofuels and waste",50585,2009, TJ
"Biofuels and waste",54979,2010, TJ
"Biofuels and waste",59352,2011, TJ
"Biofuels and waste",63998,2012, TJ
"Biofuels and waste",66878,2013, TJ
"Biofuels and waste",72753,2014, TJ
"Biofuels and waste",69367,2015, TJ
"Biofuels and waste",75942,2016, TJ
"Biofuels and waste",79927,2017, TJ
"Biofuels and waste",83103,2018, TJ
"Biofuels and waste",99837,2019, TJ
"Biofuels and waste",89211,2020, TJ
"Biofuels and waste",86857,2021, TJ
"Biofuels and waste",89803,2022, TJ
"Biofuels and waste",99055,2023, TJ
