iso_code3,year,gdp_mmm_usd
ABW,2010,3.186183441
ABW,2011,3.3934250018
ABW,2012,3.6006665626
ABW,2013,3.8079081234
ABW,2014,4.0151496842
ABW,2015,4.222391245
ABW,2016,4.1824962294
ABW,2017,4.1426012138
ABW,2018,4.1027061982
ABW,2019,4.0628111826
ABW,2020,4.022916167
ABW,2021,4.0519261214
ABW,2022,4.0809360758
ABW,2023,4.1099460302
ABW,2024,4.1389559846
ABW,2025,4.167965939
ABW,2026,4.0449571702
ABW,2027,3.9219484014
ABW,2028,3.7989396326
ABW,2029,3.6759308638
ABW,2030,3.552922095
ABW,2031,3.4351045222
ABW,2032,3.3172869494
ABW,2033,3.1994693766
ABW,2034,3.0816518038
ABW,2035,2.963834231
ABW,2036,2.8545821314
ABW,2037,2.7453300318
ABW,2038,2.6360779322
ABW,2039,2.5268258326
ABW,2040,2.417573733
ABW,2041,2.3179253456
ABW,2042,2.2182769582
ABW,2043,2.1186285708
ABW,2044,2.0189801834
ABW,2045,1.919331796
ABW,2046,1.8311040394
ABW,2047,1.7428762828
ABW,2048,1.6546485262
ABW,2049,1.5664207696
ABW,2050,1.478193013
AFG,2010,32.6529695
AFG,2011,35.369177504
AFG,2012,38.085385508
AFG,2013,40.801593512
AFG,2014,43.517801516
AFG,2015,46.23400952
AFG,2016,46.997229142
AFG,2017,47.760448764
AFG,2018,48.523668386
AFG,2019,49.286888008
AFG,2020,50.05010763
AFG,2021,51.88501338
AFG,2022,53.71991913
AFG,2023,55.55482488
AFG,2024,57.38973063
AFG,2025,59.22463638
AFG,2026,63.013767982
AFG,2027,66.802899584
AFG,2028,70.592031186
AFG,2029,74.381162788
AFG,2030,78.17029439
AFG,2031,83.211780812
AFG,2032,88.253267234
AFG,2033,93.294753656
AFG,2034,98.336240078
AFG,2035,103.3777265
AFG,2036,110.20133262
AFG,2037,117.02493874
AFG,2038,123.84854486
AFG,2039,130.67215098
AFG,2040,137.4957571
AFG,2041,146.6422619
AFG,2042,155.7887667
AFG,2043,164.9352715
AFG,2044,174.0817763
AFG,2045,183.2282811
AFG,2046,195.35062174
AFG,2047,207.47296238
AFG,2048,219.59530302
AFG,2049,231.71764366
AFG,2050,243.8399843
AGO,2010,125.4085252
AGO,2011,134.44145848
AGO,2012,143.47439176
AGO,2013,152.50732504
AGO,2014,161.54025832
AGO,2015,170.5731916
AGO,2016,169.5995379
AGO,2017,168.6258842
AGO,2018,167.6522305
AGO,2019,166.6785768
AGO,2020,165.7049231
AGO,2021,170.2406142
AGO,2022,174.7763053
AGO,2023,179.3119964
AGO,2024,183.8476875
AGO,2025,188.3833786
AGO,2026,190.41461788
AGO,2027,192.44585716
AGO,2028,194.47709644
AGO,2029,196.50833572
AGO,2030,198.539575
AGO,2031,199.14786242
AGO,2032,199.75614984
AGO,2033,200.36443726
AGO,2034,200.97272468
AGO,2035,201.5810121
AGO,2036,203.3209771
AGO,2037,205.0609421
AGO,2038,206.8009071
AGO,2039,208.5408721
AGO,2040,210.2808371
AGO,2041,214.34722842
AGO,2042,218.41361974
AGO,2043,222.48001106
AGO,2044,226.54640238
AGO,2045,230.6127937
AGO,2046,237.7025072
AGO,2047,244.7922207
AGO,2048,251.8819342
AGO,2049,258.9716477
AGO,2050,266.0613612
ALB,2010,20.45424303
ALB,2011,21.159910106
ALB,2012,21.865577182
ALB,2013,22.571244258
ALB,2014,23.276911334
ALB,2015,23.98257841
ALB,2016,24.52576748
ALB,2017,25.06895655
ALB,2018,25.61214562
ALB,2019,26.15533469
ALB,2020,26.69852376
ALB,2021,27.644287716
ALB,2022,28.590051672
ALB,2023,29.535815628
ALB,2024,30.481579584
ALB,2025,31.42734354
ALB,2026,32.358485052
ALB,2027,33.289626564
ALB,2028,34.220768076
ALB,2029,35.151909588
ALB,2030,36.0830511
ALB,2031,37.032548022
ALB,2032,37.982044944
ALB,2033,38.931541866
ALB,2034,39.881038788
ALB,2035,40.83053571
ALB,2036,41.839736014
ALB,2037,42.848936318
ALB,2038,43.858136622
ALB,2039,44.867336926
ALB,2040,45.87653723
ALB,2041,46.924380502
ALB,2042,47.972223774
ALB,2043,49.020067046
ALB,2044,50.067910318
ALB,2045,51.11575359
ALB,2046,52.138672146
ALB,2047,53.161590702
ALB,2048,54.184509258
ALB,2049,55.207427814
ALB,2050,56.23034637
ARE,2010,382.2691949
ARE,2011,397.14989584
ARE,2012,412.03059678
ARE,2013,426.91129772
ARE,2014,441.79199866
ARE,2015,456.6726996
ARE,2016,462.14331576
ARE,2017,467.61393192
ARE,2018,473.08454808
ARE,2019,478.55516424
ARE,2020,484.0257804
ARE,2021,491.81256914
ARE,2022,499.59935788
ARE,2023,507.38614662
ARE,2024,515.17293536
ARE,2025,522.9597241
ARE,2026,541.76872772
ARE,2027,560.57773134
ARE,2028,579.38673496
ARE,2029,598.19573858
ARE,2030,617.0047422
ARE,2031,635.2861597
ARE,2032,653.5675772
ARE,2033,671.8489947
ARE,2034,690.1304122
ARE,2035,708.4118297
ARE,2036,726.389236
ARE,2037,744.3666423
ARE,2038,762.3440486
ARE,2039,780.3214549
ARE,2040,798.2988612
ARE,2041,814.59122206
ARE,2042,830.88358292
ARE,2043,847.17594378
ARE,2044,863.46830464
ARE,2045,879.7606655
ARE,2046,893.99097536
ARE,2047,908.22128522
ARE,2048,922.45159508
ARE,2049,936.68190494
ARE,2050,950.9122148
ARG,2010,559.5268985
ARG,2011,579.43003814
ARG,2012,599.33317778
ARG,2013,619.23631742
ARG,2014,639.13945706
ARG,2015,659.0425967
ARG,2016,649.22546224
ARG,2017,639.40832778
ARG,2018,629.59119332
ARG,2019,619.77405886
ARG,2020,609.9569244
ARG,2021,616.62913864
ARG,2022,623.30135288
ARG,2023,629.97356712
ARG,2024,636.64578136
ARG,2025,643.3179956
ARG,2026,666.67096334
ARG,2027,690.02393108
ARG,2028,713.37689882
ARG,2029,736.72986656
ARG,2030,760.0828343
ARG,2031,784.39470634
ARG,2032,808.70657838
ARG,2033,833.01845042
ARG,2034,857.33032246
ARG,2035,881.6421945
ARG,2036,906.0350418
ARG,2037,930.4278891
ARG,2038,954.8207364
ARG,2039,979.2135837
ARG,2040,1003.606431
ARG,2041,1027.7438144
ARG,2042,1051.8811978
ARG,2043,1076.0185812
ARG,2044,1100.1559646
ARG,2045,1124.293348
ARG,2046,1149.068216
ARG,2047,1173.843084
ARG,2048,1198.617952
ARG,2049,1223.39282
ARG,2050,1248.167688
ARM,2010,14.57687474
ARM,2011,15.229412106
ARM,2012,15.881949472
ARM,2013,16.534486838
ARM,2014,17.187024204
ARM,2015,17.83956157
ARM,2016,18.562577376
ARM,2017,19.285593182
ARM,2018,20.008608988
ARM,2019,20.731624794
ARM,2020,21.4546406
ARM,2021,22.37076369
ARM,2022,23.28688678
ARM,2023,24.20300987
ARM,2024,25.11913296
ARM,2025,26.03525605
ARM,2026,26.858257142
ARM,2027,27.681258234
ARM,2028,28.504259326
ARM,2029,29.327260418
ARM,2030,30.15026151
ARM,2031,30.998834064
ARM,2032,31.847406618
ARM,2033,32.695979172
ARM,2034,33.544551726
ARM,2035,34.39312428
ARM,2036,35.232055136
ARM,2037,36.070985992
ARM,2038,36.909916848
ARM,2039,37.748847704
ARM,2040,38.58777856
ARM,2041,39.352091042
ARM,2042,40.116403524
ARM,2043,40.880716006
ARM,2044,41.645028488
ARM,2045,42.40934097
ARM,2046,43.071577194
ARM,2047,43.733813418
ARM,2048,44.396049642
ARM,2049,45.058285866
ARM,2050,45.72052209
AUS,2010,828.4609968
AUS,2011,861.79223694
AUS,2012,895.12347708
AUS,2013,928.45471722
AUS,2014,961.78595736
AUS,2015,995.1171975
AUS,2016,1012.3560788
