iso_alpha_3,year,gdp_mmm_usd
ABW,1986,1.3207710490482854
ABW,1987,1.5331378260247592
ABW,1988,1.8189147167957742
ABW,1989,2.038912451792223
ABW,1990,2.12
ABW,1991,2.29
ABW,1992,2.42
ABW,1993,2.6
ABW,1994,2.82
ABW,1995,2.89
ABW,1996,2.92
ABW,1997,3.13
ABW,1998,3.19
ABW,1999,3.23
ABW,2000,3.48
ABW,2001,3.62
ABW,2002,3.59
ABW,2003,3.63
ABW,2004,3.89
ABW,2005,3.88
ABW,2006,3.92
ABW,2007,4.04
ABW,2008,4.11
ABW,2009,3.63
ABW,2010,3.53
ABW,2011,3.65
ABW,2012,3.62
ABW,2013,3.85
ABW,2014,3.79
ABW,2015,3.76
ABW,2016,3.83
ABW,2017,4.1
ABW,2018,4.2
ABW,2019,4.1
ABW,2020,3.12
ABW,2021,3.98
ABW,2022,4.39
ABW,2023,4.622669999999999
ABW,2024,4.673519369999999
ABW,2025,4.720254563699999
ABW,2026,4.772177363900699
ABW,2027,4.824671314903607
ABW,2028,4.877742699367546
ABW,2029,4.931397869060588
ABW,2030,4.9650495884060435
ABW,2031,4.997397702272073
ABW,2032,5.028817232769735
ABW,2033,5.0552142528552455
ABW,2034,5.072014779705573
ABW,2035,5.075542038977989
ABW,2036,5.063263465526083
ABW,2037,5.036532049505721
ABW,2038,4.997324102274353
ABW,2039,4.947601454304676
ABW,2040,4.890741401333929
ABW,2041,4.837017733493156
ABW,2042,4.785502904129739
ABW,2043,4.736255100689857
ABW,2044,4.688169988989444
ABW,2045,4.640827594363861
ABW,2046,4.59437780878009
ABW,2047,4.549691348512378
ABW,2048,4.507413538962421
ABW,2049,4.468039981881068
ABW,2050,4.432920983029772
ABW,2051,4.401950760832959
ABW,2052,4.373945222731261
ABW,2053,4.347763821607314
ABW,2054,4.322053382320325
ABW,2055,4.2955878597918975
ABW,2056,4.267991767058252
ABW,2057,4.240867840454265
ABW,2058,4.215336268936534
ABW,2059,4.192124364179326
