iso_alpha_3,year,population_gnrl_rural,population_gnrl_urban,gdp_mmm_usd
ABW,1986,,,1.3207710490482854
ABW,1987,,,1.5331378260247592
ABW,1988,,,1.8189147167957742
ABW,1989,,,2.038912451792223
ABW,1990,,,2.12
ABW,1991,,,2.29
ABW,1992,,,2.42
ABW,1993,,,2.6
ABW,1994,,,2.82
ABW,1995,,,2.89
ABW,1996,,,2.92
ABW,1997,,,3.13
ABW,1998,,,3.19
ABW,1999,,,3.23
ABW,2000,,,3.48
ABW,2001,,,3.62
ABW,2002,,,3.59
ABW,2003,,,3.63
ABW,2004,,,3.89
ABW,2005,,,3.88
ABW,2006,,,3.92
ABW,2007,,,4.04
ABW,2008,,,4.11
ABW,2009,,,3.63
ABW,2010,,,3.53
ABW,2011,58229.73,43820.27,3.65
ABW,2012,58506.15295,44058.84705,3.62
ABW,2013,58814.3665,44350.6335,3.85
ABW,2014,59109.77184,44666.22816,3.79
ABW,2015,59360.54388,44978.45612,3.76
ABW,2016,59571.7092,45293.2908,3.83
ABW,2017,59747.06227,45613.93773,4.1
ABW,2018,59897.19294,45948.80706,4.2
ABW,2019,60016.2474,46293.7526,4.1
ABW,2020,60112.46098,46653.53902,3.12
ABW,2021,71154.22206952,55440.12493048,3.98
ABW,2022,71787.00544614,56148.25855386,4.39
ABW,2023,72419.78882276,56856.39217724,4.622669999999999
ABW,2024,73052.57219938,57564.52580062,4.673519369999999
ABW,2025,73685.355576,58272.659424,4.720254563699999
ABW,2026,74230.79609416799,58932.834305832,4.772177363900699
ABW,2027,74776.236612336,59593.00918766401,4.824671314903607
ABW,2028,75321.677130504,60253.184069496,4.877742699367546
ABW,2029,75867.117648672,60913.358951327995,4.931397869060588
ABW,2030,76412.55816684,61573.53383316,4.9650495884060435
ABW,2031,76862.526320484,62175.653079516,4.997397702272073
ABW,2032,77312.494474128,62777.772325872,5.028817232769735
ABW,2033,77762.46262777201,63379.891572228,5.0552142528552455
