,transformation_code,magnitude,vec_implementation_ramp,magnitude_type,dict_categories_to_magnitude,magnitude_burned,magnitude_removed,min_loss,categories_source,categories_target,categories_entc_max_investment_ramp,categories_entc_renewable,dict_entc_renewable_target_msp,frac_high_given_high,frac_switchable,cats_inflow_restriction,dict_lsmm_pathways,vec_cats_lvst,dict_lvst_reductions,magnitude_red_meat,dict_magnitude_eff,dict_magnitude_prev,categories,dict_fuel_allocation,dict_allocation_fuels_target,fuels_source,categories_out,dict_categories_target,dict_categories_out,dict_magnitude,magnitude_biogas,magnitude_compost
0,transformation_agrc_dec_ch4_rice.yaml,0.45,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,transformation_agrc_dec_exports.yaml,0.5,null,baseline_scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,transformation_agrc_dec_losses_supply_chain.yaml,0.3,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,transformation_agrc_inc_conservation_agriculture.yaml,,null,,null,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
4,transformation_agrc_inc_productivity.yaml,0.2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,transformation_ccsq_inc_capture.yaml,50.0,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,transformation_entc_dec_losses.yaml,0.06,null,final_value,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
7,transformation_entc_target_clean_hydrogen.yaml,0.95,null,,,,,,null,null,,,,,,,,,,,,,,,,,,,,,,
8,transformation_entc_target_renewable_elec.yaml,0.95,null,,,,,,,,null,null,{},,,,,,,,,,,,,,,,,,,
9,transformation_fgtv_dec_leaks.yaml,0.8,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,transformation_fgtv_inc_flare.yaml,0.8,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,transformation_inen_inc_efficiency_energy.yaml,0.3,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,transformation_inen_inc_efficiency_production.yaml,0.4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,transformation_inen_shift_fuel_heat.yaml,,null,,,,,,,,,,,null,0.9,,,,,,,,,,,,,,,,,
14,transformation_ippu_dec_clinker.yaml,0.5,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,transformation_ippu_dec_demand.yaml,0.3,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,transformation_ippu_dec_hfcs.yaml,0.1,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,transformation_ippu_dec_n2o.yaml,0.1,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,transformation_ippu_dec_other_fcs.yaml,0.1,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,transformation_ippu_dec_pfcs.yaml,0.1,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,transformation_lndu_dec_deforestation.yaml,0.99999,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,transformation_lndu_dec_soc_loss_pastures.yaml,0.95,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,transformation_lndu_inc_reforestation.yaml,0.2,null,,,,,,,,,,,,,"['croplands', 'other']",,,,,,,,,,,,,,,,
23,transformation_lndu_inc_silvopasture.yaml,0.1,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,transformation_lsmm_inc_capture_biogas.yaml,0.9,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,transformation_lsmm_inc_management_cattle_pigs.yaml,,null,,,,,,,,,,,,,,null,null,,,,,,,,,,,,,,
26,transformation_lsmm_inc_management_other.yaml,,null,,,,,,,,,,,,,,null,null,,,,,,,,,,,,,,
27,transformation_lsmm_inc_management_poultry.yaml,,null,,,,,,,,,,,,,,null,null,,,,,,,,,,,,,,
28,transformation_lvst_dec_enteric_fermentation.yaml,,null,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,
29,transformation_lvst_dec_exports.yaml,0.5,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,transformation_lvst_inc_productivity.yaml,0.3,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,transformation_pflo_inc_healthier_diets.yaml,,null,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,
32,transformation_pflo_inc_ind_ccs.yaml,,null,,,,,,,,,,,,,,,,,,0.9,null,,,,,,,,,,
33,transformation_scoe_dec_demand_heat.yaml,0.5,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,transformation_scoe_inc_efficiency_appliance.yaml,0.5,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,transformation_scoe_shift_fuel_heat.yaml,0.95,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,transformation_soil_dec_lime_applied.yaml,0.2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
