"industry total final consumption by source in Iran",Value,Year,Units
"Coal",10087,2000, TJ
"Coal",9575,2001, TJ
"Coal",8438,2002, TJ
"Coal",11802,2003, TJ
"Coal",14492,2004, TJ
"Coal",22326,2005, TJ
"Coal",21237,2006, TJ
"Coal",23408,2007, TJ
"Coal",13989,2008, TJ
"Coal",3781,2009, TJ
"Coal",2492,2010, TJ
"Coal",2126,2011, TJ
"Coal",1698,2012, TJ
"Coal",7446,2013, TJ
"Coal",8284,2014, TJ
"Coal",12749,2015, TJ
"Coal",14842,2016, TJ
"Coal",15662,2017, TJ
"Coal",16979,2018, TJ
"Coal",17303,2019, TJ
"Coal",17128,2020, TJ
"Coal",27051,2021, TJ
"Coal",27541,2022, TJ
"Oil",306817,2000, TJ
"Oil",322949,2001, TJ
"Oil",326599,2002, TJ
"Oil",330496,2003, TJ
"Oil",319727,2004, TJ
"Oil",347489,2005, TJ
"Oil",349240,2006, TJ
"Oil",373755,2007, TJ
"Oil",418560,2008, TJ
"Oil",370416,2009, TJ
"Oil",329993,2010, TJ
"Oil",223121,2011, TJ
"Oil",228748,2012, TJ
"Oil",210428,2013, TJ
"Oil",209993,2014, TJ
"Oil",153132,2015, TJ
"Oil",152379,2016, TJ
"Oil",163564,2017, TJ
"Oil",165507,2018, TJ
"Oil",173939,2019, TJ
"Oil",181711,2020, TJ
"Oil",201607,2021, TJ
"Oil",197127,2022, TJ
"Natural gas",342765,2000, TJ
"Natural gas",326770,2001, TJ
"Natural gas",345716,2002, TJ
"Natural gas",405452,2003, TJ
"Natural gas",466927,2004, TJ
"Natural gas",526423,2005, TJ
"Natural gas",588611,2006, TJ
"Natural gas",788664,2007, TJ
"Natural gas",828268,2008, TJ
"Natural gas",893762,2009, TJ
"Natural gas",1052504,2010, TJ
"Natural gas",1205107,2011, TJ
"Natural gas",1247177,2012, TJ
"Natural gas",1258446,2013, TJ
"Natural gas",1360152,2014, TJ
"Natural gas",1344456,2015, TJ
"Natural gas",1406036,2016, TJ
"Natural gas",1474736,2017, TJ
"Natural gas",1425602,2018, TJ
"Natural gas",1694090,2019, TJ
"Natural gas",1848255,2020, TJ
"Natural gas",2017791,2021, TJ
"Natural gas",2050992,2022, TJ
"Electricity",118634,2000, TJ
"Electricity",124333,2001, TJ
"Electricity",134186,2002, TJ
"Electricity",150465,2003, TJ
"Electricity",161974,2004, TJ
"Electricity",164095,2005, TJ
"Electricity",175266,2006, TJ
"Electricity",186667,2007, TJ
"Electricity",196970,2008, TJ
"Electricity",210124,2009, TJ
"Electricity",227016,2010, TJ
"Electricity",248914,2011, TJ
"Electricity",259160,2012, TJ
"Electricity",259160,2013, TJ
"Electricity",272480,2014, TJ
"Electricity",199594,2015, TJ
"Electricity",290448,2016, TJ
"Electricity",311079,2017, TJ
"Electricity",314969,2018, TJ
"Electricity",345505,2019, TJ
"Electricity",376346,2020, TJ
"Electricity",385335,2021, TJ
"Electricity",399889,2022, TJ
