"industry total final consumption by source in Mexico",Value,Year,Units
"Coal",31950,2000, TJ
"Coal",31346,2001, TJ
"Coal",46330,2002, TJ
"Coal",95565,2003, TJ
"Coal",93196,2004, TJ
"Coal",112051,2005, TJ
"Coal",158648,2006, TJ
"Coal",106267,2007, TJ
"Coal",141897,2008, TJ
"Coal",82224,2009, TJ
"Coal",163354,2010, TJ
"Coal",202694,2011, TJ
"Coal",122212,2012, TJ
"Coal",152017,2013, TJ
"Coal",103455,2014, TJ
"Coal",157875,2015, TJ
"Coal",73947,2016, TJ
"Coal",139443,2017, TJ
"Coal",104271,2018, TJ
"Coal",102567,2019, TJ
"Coal",103090,2020, TJ
"Coal",49337,2021, TJ
"Coal",67024,2022, TJ
"Oil",313125,2000, TJ
"Oil",304831,2001, TJ
"Oil",298462,2002, TJ
"Oil",263939,2003, TJ
"Oil",303274,2004, TJ
"Oil",306708,2005, TJ
"Oil",319795,2006, TJ
"Oil",330930,2007, TJ
"Oil",292394,2008, TJ
"Oil",260665,2009, TJ
"Oil",246449,2010, TJ
"Oil",249093,2011, TJ
"Oil",247903,2012, TJ
"Oil",241717,2013, TJ
"Oil",240803,2014, TJ
"Oil",262018,2015, TJ
"Oil",295941,2016, TJ
"Oil",268391,2017, TJ
"Oil",181334,2018, TJ
"Oil",224091,2019, TJ
"Oil",223610,2020, TJ
"Oil",225614,2021, TJ
"Oil",224273,2022, TJ
"Natural gas",465484,2000, TJ
"Natural gas",384757,2001, TJ
"Natural gas",424795,2002, TJ
"Natural gas",403118,2003, TJ
"Natural gas",414716,2004, TJ
"Natural gas",420260,2005, TJ
"Natural gas",448014,2006, TJ
"Natural gas",442862,2007, TJ
"Natural gas",482085,2008, TJ
"Natural gas",415059,2009, TJ
"Natural gas",482325,2010, TJ
"Natural gas",507639,2011, TJ
"Natural gas",530765,2012, TJ
"Natural gas",559036,2013, TJ
"Natural gas",520757,2014, TJ
"Natural gas",519016,2015, TJ
"Natural gas",533902,2016, TJ
"Natural gas",574483,2017, TJ
"Natural gas",459594,2018, TJ
"Natural gas",463853,2019, TJ
"Natural gas",394926,2020, TJ
"Natural gas",338704,2021, TJ
"Natural gas",347250,2022, TJ
"Electricity",297561,2000, TJ
"Electricity",295671,2001, TJ
"Electricity",301719,2002, TJ
"Electricity",358002,2003, TJ
"Electricity",378586,2004, TJ
"Electricity",393591,2005, TJ
"Electricity",409032,2006, TJ
"Electricity",422899,2007, TJ
"Electricity",431064,2008, TJ
"Electricity",411123,2009, TJ
"Electricity",441766,2010, TJ
"Electricity",484383,2011, TJ
"Electricity",528285,2012, TJ
"Electricity",494607,2013, TJ
"Electricity",512373,2014, TJ
"Electricity",503963,2015, TJ
"Electricity",525402,2016, TJ
"Electricity",530874,2017, TJ
"Electricity",606211,2018, TJ
"Electricity",552358,2019, TJ
"Electricity",630572,2020, TJ
"Electricity",617293,2021, TJ
"Electricity",637344,2022, TJ
"Wind, solar, etc.",85,2000, TJ
"Wind, solar, etc.",101,2001, TJ
"Wind, solar, etc.",112,2002, TJ
"Wind, solar, etc.",130,2003, TJ
"Wind, solar, etc.",145,2004, TJ
"Wind, solar, etc.",164,2005, TJ
"Wind, solar, etc.",184,2006, TJ
"Wind, solar, etc.",211,2007, TJ
"Wind, solar, etc.",152,2008, TJ
"Wind, solar, etc.",185,2009, TJ
"Wind, solar, etc.",217,2010, TJ
"Wind, solar, etc.",264,2011, TJ
"Wind, solar, etc.",333,2012, TJ
"Wind, solar, etc.",380,2013, TJ
"Wind, solar, etc.",415,2014, TJ
"Wind, solar, etc.",462,2015, TJ
"Wind, solar, etc.",519,2016, TJ
"Wind, solar, etc.",598,2017, TJ
"Wind, solar, etc.",671,2018, TJ
"Wind, solar, etc.",736,2019, TJ
"Wind, solar, etc.",1301,2020, TJ
"Wind, solar, etc.",1285,2021, TJ
"Wind, solar, etc.",1450,2022, TJ
"Biofuels and waste",57690,2000, TJ
"Biofuels and waste",48293,2001, TJ
"Biofuels and waste",43246,2002, TJ
"Biofuels and waste",45323,2003, TJ
"Biofuels and waste",46900,2004, TJ
"Biofuels and waste",58099,2005, TJ
"Biofuels and waste",56834,2006, TJ
"Biofuels and waste",53452,2007, TJ
"Biofuels and waste",55336,2008, TJ
"Biofuels and waste",41644,2009, TJ
"Biofuels and waste",37648,2010, TJ
"Biofuels and waste",41670,2011, TJ
"Biofuels and waste",40993,2012, TJ
"Biofuels and waste",61991,2013, TJ
"Biofuels and waste",37708,2014, TJ
"Biofuels and waste",37150,2015, TJ
"Biofuels and waste",38276,2016, TJ
"Biofuels and waste",74808,2017, TJ
"Biofuels and waste",57616,2018, TJ
"Biofuels and waste",60120,2019, TJ
"Biofuels and waste",52906,2020, TJ
"Biofuels and waste",47148,2021, TJ
"Biofuels and waste",62140,2022, TJ
