"residential total final consumption by source in Mexico",Value,Year,Units
"Oil products",319690,2000, TJ
"Oil products",309219,2001, TJ
"Oil products",308979,2002, TJ
"Oil products",317659,2003, TJ
"Oil products",305304,2004, TJ
"Oil products",288123,2005, TJ
"Oil products",288659,2006, TJ
"Oil products",285453,2007, TJ
"Oil products",281226,2008, TJ
"Oil products",270063,2009, TJ
"Oil products",275715,2010, TJ
"Oil products",272775,2011, TJ
"Oil products",275897,2012, TJ
"Oil products",254412,2013, TJ
"Oil products",255124,2014, TJ
"Oil products",252007,2015, TJ
"Oil products",243400,2016, TJ
"Oil products",240993,2017, TJ
"Oil products",233912,2018, TJ
"Oil products",225927,2019, TJ
"Oil products",282333,2020, TJ
"Oil products",279495,2021, TJ
"Oil products",276705,2022, TJ
"Natural gas",18877,2000, TJ
"Natural gas",20382,2001, TJ
"Natural gas",22449,2002, TJ
"Natural gas",25786,2003, TJ
"Natural gas",26291,2004, TJ
"Natural gas",30605,2005, TJ
"Natural gas",30015,2006, TJ
"Natural gas",27661,2007, TJ
"Natural gas",33380,2008, TJ
"Natural gas",30940,2009, TJ
"Natural gas",32151,2010, TJ
"Natural gas",30505,2011, TJ
"Natural gas",31157,2012, TJ
"Natural gas",32159,2013, TJ
"Natural gas",34926,2014, TJ
"Natural gas",32506,2015, TJ
"Natural gas",30681,2016, TJ
"Natural gas",29683,2017, TJ
"Natural gas",27141,2018, TJ
"Natural gas",26946,2019, TJ
"Natural gas",23351,2020, TJ
"Natural gas",24895,2021, TJ
"Natural gas",22682,2022, TJ
"Electricity",130060,2000, TJ
"Electricity",138038,2001, TJ
"Electricity",140515,2002, TJ
"Electricity",143499,2003, TJ
"Electricity",146638,2004, TJ
"Electricity",153111,2005, TJ
"Electricity",153111,2006, TJ
"Electricity",165006,2007, TJ
"Electricity",170823,2008, TJ
"Electricity",174743,2009, TJ
"Electricity",175320,2010, TJ
"Electricity",186375,2011, TJ
"Electricity",187307,2012, TJ
"Electricity",188532,2013, TJ
"Electricity",194090,2014, TJ
"Electricity",201549,2015, TJ
"Electricity",212277,2016, TJ
"Electricity",212950,2017, TJ
"Electricity",227800,2018, TJ
"Electricity",232149,2019, TJ
"Electricity",260096,2020, TJ
"Electricity",250063,2021, TJ
"Electricity",256244,2022, TJ
"Wind, solar, etc.",1038,2000, TJ
"Wind, solar, etc.",1243,2001, TJ
"Wind, solar, etc.",1384,2002, TJ
"Wind, solar, etc.",1591,2003, TJ
"Wind, solar, etc.",1767,2004, TJ
"Wind, solar, etc.",2016,2005, TJ
"Wind, solar, etc.",2248,2006, TJ
"Wind, solar, etc.",2596,2007, TJ
"Wind, solar, etc.",1862,2008, TJ
"Wind, solar, etc.",2282,2009, TJ
"Wind, solar, etc.",2843,2010, TJ
"Wind, solar, etc.",3219,2011, TJ
"Wind, solar, etc.",3531,2012, TJ
"Wind, solar, etc.",4036,2013, TJ
"Wind, solar, etc.",4525,2014, TJ
"Wind, solar, etc.",5201,2015, TJ
"Wind, solar, etc.",5859,2016, TJ
"Wind, solar, etc.",6420,2017, TJ
"Wind, solar, etc.",7107,2018, TJ
"Wind, solar, etc.",7885,2019, TJ
"Wind, solar, etc.",9014,2020, TJ
"Wind, solar, etc.",9156,2021, TJ
"Wind, solar, etc.",9747,2022, TJ
"Biofuels and waste",284975,2000, TJ
"Biofuels and waste",267094,2001, TJ
"Biofuels and waste",266239,2002, TJ
"Biofuels and waste",267028,2003, TJ
"Biofuels and waste",266652,2004, TJ
"Biofuels and waste",266434,2005, TJ
"Biofuels and waste",264599,2006, TJ
"Biofuels and waste",263237,2007, TJ
"Biofuels and waste",262048,2008, TJ
"Biofuels and waste",260678,2009, TJ
"Biofuels and waste",259310,2010, TJ
"Biofuels and waste",258086,2011, TJ
"Biofuels and waste",256743,2012, TJ
"Biofuels and waste",255422,2013, TJ
"Biofuels and waste",254117,2014, TJ
"Biofuels and waste",252840,2015, TJ
"Biofuels and waste",251558,2016, TJ
"Biofuels and waste",250308,2017, TJ
"Biofuels and waste",249028,2018, TJ
"Biofuels and waste",247758,2019, TJ
"Biofuels and waste",218026,2020, TJ
"Biofuels and waste",245591,2021, TJ
"Biofuels and waste",244468,2022, TJ
