"transport total final consumption by source in Mexico",Value,Year,Units
"Oil products",1496550,2000, TJ
"Oil products",1529751,2001, TJ
"Oil products",1558409,2002, TJ
"Oil products",1652086,2003, TJ
"Oil products",1742053,2004, TJ
"Oil products",1847459,2005, TJ
"Oil products",1946812,2006, TJ
"Oil products",2057296,2007, TJ
"Oil products",2141219,2008, TJ
"Oil products",2093870,2009, TJ
"Oil products",2134265,2010, TJ
"Oil products",2148784,2011, TJ
"Oil products",2159453,2012, TJ
"Oil products",2135680,2013, TJ
"Oil products",2142528,2014, TJ
"Oil products",2134469,2015, TJ
"Oil products",2211512,2016, TJ
"Oil products",2147019,2017, TJ
"Oil products",2090687,2018, TJ
"Oil products",2130429,2019, TJ
"Oil products",1526631,2020, TJ
"Oil products",1502247,2021, TJ
"Oil products",1855499,2022, TJ
"Natural gas",201,2000, TJ
"Natural gas",423,2001, TJ
"Natural gas",552,2002, TJ
"Natural gas",632,2003, TJ
"Natural gas",622,2004, TJ
"Natural gas",680,2005, TJ
"Natural gas",721,2006, TJ
"Natural gas",579,2007, TJ
"Natural gas",776,2008, TJ
"Natural gas",756,2009, TJ
"Natural gas",361,2010, TJ
"Natural gas",360,2011, TJ
"Natural gas",751,2012, TJ
"Natural gas",751,2013, TJ
"Natural gas",695,2014, TJ
"Natural gas",692,2015, TJ
"Natural gas",955,2016, TJ
"Natural gas",1979,2017, TJ
"Natural gas",2456,2018, TJ
"Natural gas",1877,2019, TJ
"Natural gas",1627,2020, TJ
"Natural gas",1573,2021, TJ
"Natural gas",621,2022, TJ
"Electricity",3960,2000, TJ
"Electricity",4050,2001, TJ
"Electricity",4068,2002, TJ
"Electricity",3995,2003, TJ
"Electricity",3931,2004, TJ
"Electricity",3931,2005, TJ
"Electricity",3920,2006, TJ
"Electricity",3920,2007, TJ
"Electricity",3999,2008, TJ
"Electricity",4017,2009, TJ
"Electricity",4287,2010, TJ
"Electricity",4039,2011, TJ
"Electricity",4068,2012, TJ
"Electricity",4068,2013, TJ
"Electricity",4068,2014, TJ
"Electricity",4082,2015, TJ
"Electricity",4104,2016, TJ
"Electricity",3877,2017, TJ
"Electricity",3862,2018, TJ
"Electricity",3981,2019, TJ
"Electricity",3402,2020, TJ
"Electricity",5693,2021, TJ
"Electricity",5883,2022, TJ
